Trace_ID,Requirement_ID,Requirement_Type,Requirement_Summary,Primary_Actor_or_Domain,Target_Source,Evidence_Classification,Related_Business_Rule_IDs,TO_BE_Process_Reference,State_or_Transition_Reference,Use_Case_IDs,User_Story_IDs,Acceptance_Criteria_IDs,Data_Entity_or_Element_References,UI_or_System_Module,Current_Implementation_Evidence,Implementation_Assessment,Gap_ID,Open_Clarification,UAT_Test_Case_IDs,UAT_Coverage_Status,Notes
RTM-001,FR-ADM-01,Functional Requirement,Manage user accounts,Administrator,S1 — FR-ADM-01,BASELINE,—,—,—,UC-ADM-01,US-ADM-01,AC-US-ADM-01-01,—,NOT VERIFIED,—,NOT VERIFIED,—,Exact supported Administrator user-account management actions,UAT-049,BLOCKED — TARGET CLARIFICATION REQUIRED,Potential implementation area: `AdminController.cs`
RTM-002,FR-ADM-02,Functional Requirement,Approve partner registrations,Administrator,S1 — FR-ADM-02,BASELINE,BR-PARTNER-01,—,—,UC-ADM-02,US-ADM-02,AC-US-ADM-02-01,Account — DE-ACC-004 Partner Approval Status,NOT VERIFIED,—,NOT VERIFIED,—,Approval-state vocabulary & rejection logic,UAT-050,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `AdminController.cs`
RTM-003,FR-ADM-03,Functional Requirement,View system statistics,Administrator,S1 — FR-ADM-03,BASELINE,—,—,—,UC-ADM-03,US-ADM-03,AC-US-ADM-03-01; 02,Order — DE-ORD-004 Total Amount; DE-ORD-005 Delivery Fee; DE-ORD-006 Service Fee,NOT VERIFIED,—,NOT VERIFIED,—,—,UAT-051; UAT-052,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `AdminController.cs`
RTM-004,FR-ADM-04,Functional Requirement,Export revenue statistics,Administrator,S1 — FR-ADM-04,BASELINE,—,—,—,UC-ADM-03,US-ADM-04,AC-US-ADM-04-01,Order — DE-ORD-004 Total Amount; DE-ORD-005 Delivery Fee; DE-ORD-006 Service Fee,NOT VERIFIED,—,NOT VERIFIED,—,—,UAT-053,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `AdminController.cs`
RTM-005,FR-AUTH-01,Functional Requirement,Registration under chosen roles,Guest / All,S1 — FR-AUTH-01,BASELINE,—,—,—,—,—,Section 3 — Cross-Cutting Registration,Account — DE-ACC-001 Username; DE-ACC-002 Credential Secret; DE-ACC-003 Role,NOT VERIFIED,`AccountController.cs` (`Register` method),ALIGNED,GAP-02,—,UAT-058,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Registration logic is functional but credential protection fails NFR-SEC-02.
RTM-006,FR-AUTH-02,Functional Requirement,Authentication & role routing,Guest / All,S1 — FR-AUTH-02,BASELINE,—,—,—,—,—,Section 3 — Cross-Cutting Authentication,Account — DE-ACC-001 Username; DE-ACC-002 Credential Secret; DE-ACC-003 Role,NOT VERIFIED,`AccountController.cs` (`Login` method),ALIGNED,GAP-02,Detailed authentication failure behaviour,UAT-059; UAT-060,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Authentication logic is functional but credential protection fails NFR-SEC-02.
RTM-007,FR-CUS-01,Functional Requirement,Manage personal profile,Customer,S1 — FR-CUS-01,BASELINE,—,—,—,UC-CUS-01,US-CUS-01,AC-US-CUS-01-01 to 03,—,NOT VERIFIED,—,NOT VERIFIED,—,Customer profile/account input validation,UAT-001; UAT-002; UAT-003,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `KhachHangController.cs`
RTM-008,FR-CUS-02,Functional Requirement,Browse restaurants & menus,Customer,S1 — FR-CUS-02,BASELINE,—,—,—,UC-CUS-02,US-CUS-02,AC-US-CUS-02-01,—,NOT VERIFIED,—,NOT VERIFIED,—,Whether authentication is required for browsing,UAT-004,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `KhachHangController.cs` / `HomeController.cs`
RTM-009,FR-CUS-03,Functional Requirement,Manage shopping cart,Customer,S1 — FR-CUS-03,BASELINE,—,—,—,UC-CUS-02,US-CUS-03,AC-US-CUS-03-01 to 03,—,NOT VERIFIED,—,NOT VERIFIED,—,—,UAT-005; UAT-006; UAT-007,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Potential implementation area: `KhachHangController.cs`
RTM-010,FR-CUS-04,Functional Requirement,Validate delivery address & calculate delivery distance via Map APIs,Customer,S1 — FR-CUS-04,BASELINE,BR-DEL-01,Step 3 — Validate delivery address / distance,—,UC-CUS-03,US-CUS-04,AC-US-CUS-04-01 to 03,Order — DE-ORD-008 Delivery Distance,NOT VERIFIED,—,NOT VERIFIED,—,—,UAT-008; UAT-009; UAT-010,READY — UAT DESIGN COVERAGE DEFINED; NOT EXECUTED,Implementation not explicitly reviewed.
